가맹점명,서울페이앱분류업종,자치구명,기본주소
벌크커피 잠실점,제과점/커피,송파구,서울특별시 송파구 올림픽로34길 5-13
카페오호(cafe OHHO),제과점/커피,중구,"서울 중구 필동로 14,"
하늘약국,병원/약국,은평구,서울 은평구 서오릉로 41-17
죽해수산,음식점,서대문구,"서울 서대문구 연세로5길 30,"
주주헤어,뷰티/미용,금천구,서울특별시 금천구 독산로74길 10
매직세탁소,생활,성동구,서울 성동구 용답동
황가네손두부짱,식품,금천구,"서울 금천구 시흥대로144길 21,"
진이떡방,식품,서대문구,서울특별시 서대문구 통일로 205-5
예시카헤어,뷰티/미용,강서구,"서울 강서구 강서로 471,"
천일한의원,병원/약국,관악구,"서울 관악구 봉천로 615,"
까쉬(cache),음식점,성북구,서울특별시 성북구 보문로34길 72-5
보돌미역 광화문 sfc몰점,음식점,중구,서울특별시 중구 세종대로 136
강나루유황오리주물럭,음식점,노원구,서울 노원구 공릉로43길 11
알파한성대점,문구/완구,성북구,"서울 성북구 동소문로 34,"
예인 골프존,레저/스포츠,마포구,"서울 마포구 월드컵북로43길 38,"
럭키슈퍼,마트/슈퍼마켓,구로구,"서울 구로구 남부순환로95길 44,"
빽다방 굽은다리역점,제과점/커피,강동구,서울특별시 강동구 양재대로 1576
GS25 S9양천향교역점,마트/슈퍼마켓,강서구,서울특별시 강서구 양천로 지하341
아이두 수학교습소,교육/서점,금천구,"서울 금천구 독산로 89,"
선장주영어학원,교육/서점,송파구,서울특별시 송파구 위례송파로 77
탑플레이스(언주역),기타,강남구,서울특별시 강남구 논현로 612
세븐일레븐 부티크호텔K점,마트/슈퍼마켓,동대문구,"서울 동대문구 천호대로 341,"
초우마을,음식점,동대문구,"서울 동대문구 회기로28길 8,"
콩다방,음식점,중구,서울특별시 중구 마른내로 50
명동피자 신논현점,음식점,서초구,서울특별시 서초구 강남대로79길 36
60계치킨 미아점,음식점,강북구,"서울 강북구 삼양로27길 43,"
메디팜 금빛약국,병원/약국,양천구,서울특별시 양천구 목동동로 379
진이찬방 청구점,마트/슈퍼마켓,중구,서울특별시 중구 다산로36길 36
씨유(CU) 홍대피카소점,마트/슈퍼마켓,마포구,서울특별시 마포구 와우산로 106
본초돈까스,음식점,성동구,"서울 성동구 왕십리로 215,"
네일델리아,뷰티/미용,강서구,서울특별시 강서구 마곡동로10길 23
제이블리,레저/스포츠,양천구,서울특별시 양천구 신목로 34
포앤그릴,음식점,동작구,서울  동작구  상도동
살리르(salir),제과점/커피,용산구,"서울 용산구 이태원로54길 58-20,"
오사카부루스,음식점,성북구,서울특별시 성북구 화랑로 99
메딕스약국,병원/약국,서초구,"서울 서초구 고무래로 32,"
GS25  봉천한가온점,마트/슈퍼마켓,관악구,서울 관악구 중앙길 38
카페 무수,제과점/커피,양천구,서울특별시 양천구 중앙로46길 21
시엘로 피아노 음악교습소,교육/서점,영등포구,서울특별시 영등포구 여의대방로35길 15
감성푸드,음식점,구로구,서울특별시 구로구 고척로32길 11-4
신서방 부대찌개,음식점,송파구,서울특별시 송파구 중대로9길 42-28
현대,식품,은평구,서울특별시 은평구 통일로 693
미소담,식품,송파구,서울  송파구  송이로  161
방학수산,식품,도봉구,서울특별시 도봉구 도봉로153길 63
올댓북,교육/서점,강서구,"서울 강서구 마곡서1로 111-11,"
힐링약국,병원/약국,종로구,서울특별시 종로구 종로5길 13
요가&필라테스 하루나,레저/스포츠,구로구,"서울 구로구 경인로15길 1,"
메드커피 (MAD COFFEE),음식점,강남구,"서울 강남구 테헤란로98길 8,"
김인성의 토평한우소곱창,음식점,영등포구,"서울 영등포구 영중로4길 21-1,"
군자역점 스포애니 주)케이디스포츠,레저/스포츠,광진구,서울특별시 광진구 능동로 332
한국체대 석사 멀티짐 합기도 본관,교육/서점,동작구,서울특별시 동작구 만양로 16
동도참치초밥,음식점,서초구,"서울 서초구 방배중앙로 191,"
뷰 리뉼레,뷰티/미용,용산구,"서울 용산구 후암로 28,"
대교참치,음식점,중랑구,"서울 중랑구 용마산로129나길 3,"
현방오백소갈비살 돌곶이역점,음식점,동대문구,서울특별시 성북구 돌곶이로 47
선술주막집,음식점,노원구,서울특별시 노원구 동일로242다길 12
GS25대치삼성점,마트/슈퍼마켓,강남구,"서울 강남구 테헤란로98길 8,"
물감뿜는고래미술학원,교육/서점,동대문구,서울특별시 동대문구 전농로 36
푸른숲,식품,서초구,서울특별시 서초구 동광로7길 33
정다운국어논술학원,교육/서점,양천구,서울특별시 양천구 신목로5길 6-2
중경당약국,병원/약국,동대문구,"서울 동대문구 장한로 58,"
건강미사랑  성북점,마트/슈퍼마켓,성북구,서울  성북구  동소문로13가길  10
헤이리커피공장103이촌점,제과점/커피,용산구,"서울 용산구 이촌로18길 16,"
소담촌,음식점,관악구,서울특별시 관악구 양녕로 50
카페베네 한일병원점,제과점/커피,도봉구,서울특별시 도봉구 우이천로 308
털보네  수산물,식품,영등포구,서울특별시 영등포구 디지털로37다길 2
파리바게뜨,제과점/커피,은평구,"서울 은평구 진관2로 67,"
어머니와고등어,음식점,동대문구,서울  동대문구  전농동
수서브람스피아노,교육/서점,강남구,서울특별시 강남구 광평로51길 27
대박식자재마트  명일점,마트/슈퍼마켓,강동구,서울  강동구  상암로51길  61
코리아세븐수유2호점,마트/슈퍼마켓,강북구,서울 강북구 삼양로 438
크린위드 리센츠점,생활,송파구,서울특별시 송파구 올림픽로 145
CU 방배사이길점,마트/슈퍼마켓,서초구,"서울 서초구 방배로42길 35,"
장독대김치찌개,음식점,영등포구,"서울 영등포구 의사당대로 38,"
꿈의숲 수제떡,식품,성북구,서울특별시 성북구 돌곶이로 220
뉴  서울  치과,병원/약국,강남구,"서울 강남구 학동로 219,"
개돼지 펍,음식점,금천구,"서울 금천구 벚꽃로38길 32-67,"
신앙촌상회,마트/슈퍼마켓,도봉구,"서울 도봉구 마들로 693,"
아레테수능국어전문학원,교육/서점,양천구,서울특별시 양천구 목동동로 435
월드테라피,뷰티/미용,관악구,서울특별시 관악구 조원중앙로 30
밥&밥,음식점,강동구,"서울 강동구 올림픽로 572,"
폴라리스안경,패션/잡화,중구,"서울 중구 남대문시장길 9,"
헤어웨이,뷰티/미용,강동구,서울특별시 강동구 고덕로 353
영진약국,병원/약국,마포구,서울특별시 마포구 망원로8길 67
카페아비오,제과점/커피,마포구,서울  마포구  성미산로  82
모니카영어교습소,교육/서점,은평구,서울특별시 은평구 연서로 149
세븐코리아 청량리전농점,마트/슈퍼마켓,동대문구,"서울 동대문구 왕산로 244,"
씨유 월계서광점,마트/슈퍼마켓,노원구,"서울 노원구 마들로1길 44,"
리안헤어 용두역점,뷰티/미용,동대문구,서울특별시 동대문구 고산자로 411
얼음왕국 아이스크림할인점 길동299호점,마트/슈퍼마켓,강동구,서울특별시 강동구 천중로49가길 21
땡스오트,음식점,마포구,"서울 마포구 성미산로23길 68,"
에듀프라임 도봉지사,교육/서점,강북구,서울특별시 강북구 인수봉로79길 93
로지브라운,마트/슈퍼마켓,강남구,서울특별시 강남구 봉은사로37길 7-8
걸작떡볶이치킨,음식점,마포구,서울특별시 마포구 독막로 38
크린토피아 코인워시 서초우면하나로마트점,생활,서초구,서울특별시 서초구 양재대로2길 116-19
트래피 커피,음식점,마포구,서울특별시 마포구 희우정로 98
본죽삼양사거리점,음식점,강북구,서울 강북구 삼양로 167
안나수이헤어샵,뷰티/미용,관악구,서울  관악구  신림11동
큐브김밥,음식점,동작구,서울특별시 동작구 여의대방로 30
원인어밀리언 (oneinamillion),음식점,용산구,서울특별시 용산구 이태원로54길 31
늘푸른솔약국,병원/약국,중랑구,서울 중랑구 겸재로 178
소화약국,병원/약국,영등포구,서울  영등포구  영등포동
김가네,음식점,용산구,서울특별시 용산구 대사관로 76
와이(Y)헤어,뷰티/미용,중랑구,"서울 중랑구 숙선옹주로 6-9,"
부뚜막,음식점,서초구,서울  서초구  방배중앙로15길
고덕아이온소아치과치과의원,병원/약국,강동구,서울특별시 강동구 고덕로 399
성원한우,식품,강서구,"서울 강서구 곰달래로57길 24,"
손톱공주,뷰티/미용,양천구,"서울 양천구 목동서로 397,"
착한고기,식품,송파구,"서울 송파구 바람드리길 36-1,"
(주) 포스트 필라테스,교육/서점,동작구,"서울 동작구 남부순환로 2067,"
보건한양의료기,기타,성동구,서울특별시 성동구 왕십리로 222-1
아티장 깔조네 버거 홍대본점,음식점,마포구,서울특별시 마포구 독막로19길 45-4
가위소리  헤어샵,뷰티/미용,성북구,서울  성북구  돈암1동
암사블럭에듀놀이학원,교육/서점,강동구,"서울 강동구 고덕로 133,"
레가,음식점,용산구,서울특별시 용산구 한강대로40길 43
이마트24 금천부흥점,마트/슈퍼마켓,금천구,서울특별시 금천구 벚꽃로 176
세븐일레븐  불광연서로점,마트/슈퍼마켓,은평구,서울  은평구  연서로37길  21
밸런스뮤직실용음악학원,교육/서점,광진구,"서울 광진구 천호대로 553,"
다빈반점,음식점,강동구,서울 강동구 양재대로96길 21
허니바니,음식점,강남구,"서울 강남구 논현로 623,"
나진국밥 장안점,음식점,동대문구,"서울 동대문구 천호대로83길 3,"
신명칼상회,기타,동작구,서울 동작구 노들로 688
희망슈퍼,마트/슈퍼마켓,광진구,"서울 광진구 동일로76길 12,"
킹아이스크림,마트/슈퍼마켓,노원구,"서울 노원구 상계로 305 ,"
그냥.점례,식품,마포구,서울특별시 마포구 포은로 71
이철헤어커커한성대역점,뷰티/미용,성북구,"서울 성북구 동소문로 11,"
레드매쓰수학학원,교육/서점,강남구,"서울 강남구 도곡로 531,"
주식회사 엠피연구소,음식점,용산구,서울특별시 용산구 한강대로40가길 7
(주)별의정원,제과점/커피,중구,서울특별시 중구 통일로 10
오류중앙약국,병원/약국,구로구,"서울 구로구 경인로 195,"
태진참치,음식점,강남구,"서울 강남구 삼성로85길 19,"
햇살온누리약국,병원/약국,영등포구,서울 영등포구 당산로 223
상운수학학원,교육/서점,서초구,서울특별시 서초구 사임당로 151
도담죽,음식점,동작구,서울특별시 동작구 상도로47길 17
장안탑학원,교육/서점,동대문구,서울특별시 동대문구 답십리로69길 8
다빈커피,음식점,영등포구,"서울 영등포구 영등포로 96,"
오찬석 사진공방,사진,영등포구,서울특별시 영등포구 도림로128가길 13-2
해담,음식점,송파구,서울특별시 송파구 오금로15길 5-12
남도전통순대명가,음식점,중구,서울 중구 마른내로 121-1
가인미가 가락시장점,기타,송파구,서울특별시 송파구 송파대로32길 4
아현생각나무미술 교습소,교육/서점,서대문구,서울특별시 서대문구 북아현로1길 50
에듀프라임 강북지사,교육/서점,강북구,"서울 강북구 덕릉로 93,"
화성치과의원,병원/약국,강서구,"서울 강서구 까치산로4길 3,"
미프로,뷰티/미용,강남구,서울특별시 강남구 삼성로133길 8
컴포즈커피 모세미점,제과점/커피,양천구,서울특별시 양천구 목동중앙남로 7-1
비비큐 치킨(인사점),음식점,종로구,서울특별시 종로구 인사동3길 37
바인축산,식품,마포구,서울특별시 마포구 독막로 254
창창커피,제과점/커피,성동구,서울특별시 성동구 성수일로4가길 2
던킨도너츠,제과점/커피,동작구,"서울 동작구 사당로 236,"
씨유(CU) 석촌서호수점,마트/슈퍼마켓,송파구,서울특별시 송파구 석촌호수로 220
마루찬식당,음식점,동대문구,서울특별시 동대문구 청계천로 417
더피아노 음악교습소,교육/서점,은평구,"서울 은평구 통일로 780,"
자유자재 수학보습학원,교육/서점,송파구,"서울 송파구 올림픽로35길 112,"
파리바게뜨,제과점/커피,도봉구,서울  도봉구  창1동
세움헤어,뷰티/미용,성동구,서울 성동구 용답25다길 23
광어두마리,식품,강북구,서울특별시 강북구 솔매로 45
소담비빔국수,음식점,중구,서울 중구 남대문로5가 84-11
신혼폐백,음식점,영등포구,서울 영등포구 당산로40길 4-5
행수곱창,음식점,관악구,서울특별시 관악구 남부순환로 1726
라온수학학원,교육/서점,동대문구,"서울 동대문구 사가정로 202, 2층 라온수학학원 (전농동)"
모네,의류/직물,도봉구,서울특별시 도봉구 방학로15길 26
엠엔휘트니스(MN Fitness),레저/스포츠,서초구,서울특별시 서초구 사임당로 174
뽀글샵,뷰티/미용,구로구,서울특별시 구로구 연동로13길 25
국민수산,식품,노원구,서울특별시 노원구 동일로180길 45
샐리헤어,뷰티/미용,서초구,서울  서초구  방배3동
류몽민,음식점,강남구,"서울 강남구 학동로25길 11,"
남원 추어탕,음식점,도봉구,서울특별시 도봉구 마들로 735-8
쉼,음식점,광진구,"서울 광진구 능동로13길 80,"
한주상사,식품,동대문구,서울  동대문구  제기1동
초콜릿  휘트니스,레저/스포츠,광진구,서울  광진구  능동로  373
찬란한아구 공덕직영점,음식점,마포구,서울특별시 마포구 마포대로 92
이마트24 한티대로점,마트/슈퍼마켓,강남구,서울특별시 강남구 도곡로 413
카이스트안경원상계점,패션/잡화,노원구,"서울 노원구 한글비석로 474,"
GS25 강남유블레스점,마트/슈퍼마켓,강남구,"서울 강남구 자곡로 180 ,"
지안치과,병원/약국,중랑구,서울특별시 중랑구 동일로92길 40
지에스(GS)25 신풍래미안 1호점,마트/슈퍼마켓,영등포구,서울특별시 영등포구 신풍로 77
행복한 날에,제과점/커피,관악구,서울특별시 관악구 양녕로 35
연탄갈비,음식점,서초구,서울 서초구 바우뫼로37길 46
예담,음식점,강남구,"서울 강남구 자곡로 201,"
씨유 자양뚝섬로점,마트/슈퍼마켓,광진구,서울 광진구 능동로3라길 16
올리브부동산공인중개사사무소,컨설팅,성북구,"서울 성북구 종암로23길 17,"
메이플브릿지영어학원,교육/서점,도봉구,서울특별시 도봉구 시루봉로 105
이녁식당,음식점,동대문구,서울특별시 동대문구 천호대로45나길 52
한방순대국,음식점,구로구,서울 구로구 신도림로11라길 8
블럭스쿨,문구/완구,은평구,"서울 은평구 은평로8길 25,"
바로선체형,기타,금천구,"서울 금천구 시흥대로 315,"
씨유 미아중앙점,마트/슈퍼마켓,강북구,"서울 강북구 솔샘로 297,"
스카이멘사학원,교육/서점,양천구,서울특별시 양천구 목동서로 133-2
해머스미스커피 교대정문점,제과점/커피,서초구,서울특별시 서초구 서초중앙로 103
네일앤나나,뷰티/미용,양천구,"서울 양천구 신목로5길 12-1,"
상도효성교실,교육/서점,동작구,"서울 동작구 상도로 207,"
이탑영어학원,교육/서점,종로구,서울  종로구  평창12길  3
전주골참숯불화로구이,음식점,마포구,서울 마포구 마포대로12길 34-5
필참치,음식점,마포구,"서울 마포구 양화로6길 54,"
소양호 매운탕,음식점,은평구,서울 은평구 불광로 134
와9이닭,음식점,강북구,서울특별시 강북구 도봉로71길 29
준위드커피,음식점,용산구,서울 용산구 용산동6가 69-167
한대장네일작업실,뷰티/미용,노원구,서울특별시 노원구 공릉로 108
담꾹 길동복조리시장점,마트/슈퍼마켓,강동구,서울특별시 강동구 양재대로116길 27
소율꼬마김밥,음식점,강서구,서울특별시 강서구 공항대로36길 129
어썸스윗(Awesome Sweet),식품,강서구,서울특별시 강서구 초원로16길 10
히츠지야,음식점,마포구,서울특별시 마포구 독막로3길 21
토마토네일,뷰티/미용,동작구,"서울 동작구 상도로55길 1,"
피자알볼로 연신내점,음식점,은평구,서울특별시 은평구 통일로 803-1
하계점기아오토큐,자동차정비/용품,노원구,서울 노원구 하계동 177-2
동네슈퍼,마트/슈퍼마켓,강동구,서울  강동구  길1동
오도돈,음식점,노원구,서울특별시 노원구 덕릉로 459-47
마마운동화이불빨래방,생활,은평구,서울특별시 은평구 갈현로1길 19
(주)월드마트,마트/슈퍼마켓,동작구,"서울 동작구 신대방길 88,"
(주)코리아세븐  한신점,마트/슈퍼마켓,강남구,"서울 강남구 테헤란로 322,"
블루25궁동점,마트/슈퍼마켓,구로구,"서울 구로구 오리로15길 22,"
라온 뷰티샵,뷰티/미용,은평구,서울특별시 은평구 갈현로4길 43-9
다웰내과의원,병원/약국,마포구,"서울 마포구 큰우물로 76,"
다영약국,병원/약국,영등포구,"서울 영등포구 도신로60길 7,"
플러튼영어학원,교육/서점,노원구,서울특별시 노원구 중계로12가길 2
컴포즈커피 송파역점,제과점/커피,송파구,서울특별시 송파구 송파대로38길 2-9
온센 서울성동구점,음식점,성동구,서울특별시 성동구 왕십리로14길 12-1
박승철헤어스튜디오 광나루역점,뷰티/미용,광진구,서울특별시 광진구 천호대로 813
살롱 드 뷰티,뷰티/미용,강동구,서울특별시 강동구 천중로53길 6
띠아모 츄러스,음식점,서초구,서울특별시 서초구 방배중앙로 121
CU자양사거리점,마트/슈퍼마켓,광진구,"서울 광진구 자양로 96,"
주식회사 젠제로,음식점,강남구,서울특별시 강남구 선릉로126길 14
멋들헤어아트,뷰티/미용,강서구,서울  강서구  화곡7동
지에스(GS)25 중계신안점,마트/슈퍼마켓,노원구,서울특별시 노원구 덕릉로 595
신촌숲약국,병원/약국,마포구,서울특별시 마포구 광성로 17
알파,문구/완구,동대문구,서울특별시 동대문구 경희대로 15
지에스(GS)25 송파행운점,마트/슈퍼마켓,송파구,서울특별시 송파구 가락로 144
엘스3층 온누리약국,병원/약국,송파구,"서울 송파구 올림픽로 119,"
노원강북오케타니모유육아상담실,컨설팅,노원구,"서울 노원구 동일로203가길 29,"
강남스타샷,사진,서초구,"서울 서초구 강남대로61길 10,"
을지관드림합기도,교육/서점,관악구,서울특별시 관악구 관악로28길 20
금고기잡는집신풍역점,음식점,영등포구,서울특별시 영등포구 신길로 81
리드인독서중심논술학원,교육/서점,은평구,서울 은평구 은평로 230
점핑하우스,음식점,마포구,서울특별시 마포구 월드컵로36길 50
아빠의양식당,음식점,마포구,"서울 마포구 양화로3길 37-1,"
이자카야,음식점,중랑구,서울특별시 중랑구 겸재로 187-10
촌딱 포차,음식점,송파구,서울특별시 송파구 오금로36길 18-1
엔이(NE)능률영어학원,교육/서점,용산구,서울특별시 용산구 효창원로 12
루미테일,원예/농업,노원구,서울특별시 노원구 동일로190길 33
CU구로미래지오점,마트/슈퍼마켓,구로구,서울 구로구 구로동 810
한일사,생활,용산구,서울특별시 용산구 이촌로75길 22-5
움뮤직음악학원,교육/서점,강남구,서울특별시 강남구 선릉로130길 20
GS25  로데오점,마트/슈퍼마켓,강남구,서울 강남구 압구정로48길 15
아트러브유미술학원,교육/서점,강남구,서울특별시 강남구 학동로56길 33
아이쑥쑥소아청소년과의원,병원/약국,광진구,"서울 광진구 광나루로 604,"
맛닭꼬잠실본동점,음식점,송파구,"서울 송파구 올림픽로12길 62,"
천연왁싱 마에스트로 터치,뷰티/미용,관악구,"서울 관악구 남부순환로 1817,"
GS25  등촌점,마트/슈퍼마켓,강서구,"서울 강서구 화곡로61길 100,"
제이끌레르 헤어살롱(J.claire hairsalon),뷰티/미용,마포구,서울특별시 마포구 백범로31길 7
명약국,병원/약국,금천구,서울 금천구 시흥대로 473
치킨리그,음식점,동작구,서울특별시 동작구 사당로23길 175
서울 팀아쿠아 수족관,반려동물,금천구,서울특별시 금천구 가산디지털2로 115
준현치과의원,병원/약국,마포구,"서울 마포구 양화로 133,"
진가,음식점,마포구,"서울 마포구 동교로34길 12,"
미니미보드게임카페,음식점,성북구,서울특별시 성북구 동소문로22길 43
sleeping fish,음식점,관악구,"서울 관악구 관악로12길 72,"
올리브샌드카페,음식점,강북구,서울특별시 강북구 도봉로29길 7
보광동곤드레쌈밥집,음식점,용산구,서울 용산구 보광로19길 1
풍태,음식점,동대문구,서울특별시 동대문구 회기로 116 1층(회기동)
애니카랜드 성북점,자동차정비/용품,성북구,서울  성북구  성북1동
몽실 스튜디오,사진,송파구,"서울 송파구 동남로9길 4-19,"
목화약국,병원/약국,강남구,서울 강남구 양재대로55길 11
뉴욕버거,음식점,서초구,서울특별시 서초구 사평대로57길 54
대영수산,식품,강서구,"서울 강서구 발산로 24,"
현숙이네,마트/슈퍼마켓,중랑구,서울 중랑구 양원역로 13
전통아지매순대,음식점,강서구,서울 강서구 화곡로44나길 58
경희대 보람 태권도장,교육/서점,노원구,서울특별시 노원구 노원로34길 66
미래책  문구,문구/완구,송파구,서울  송파구  오금로31길  7
서호김밥,음식점,서초구,서울 서초구 방배중앙로 141-1
아이스 앤 스넥창고 도화현대점,마트/슈퍼마켓,마포구,"서울 마포구 새창로 52 ,"
프리모  디자인,인테리어,강서구,"서울 강서구 까치산로 30,"
지무 스튜디오,사진,송파구,서울특별시 송파구 위례광장로 230
준오헤어 노원사거리점,뷰티/미용,노원구,서울특별시 노원구 동일로 1413
이태리어부,음식점,송파구,서울특별시 송파구 올림픽로35가길 9
해뜨는약국,병원/약국,동작구,서울특별시 동작구 양녕로 281
돈카츠마켙 은평뉴타운점,음식점,은평구,서울특별시 은평구 진관3로 15-45
춤추는가위,뷰티/미용,성동구,서울 성동구 뚝섬로4길 10
살로메  네일,뷰티/미용,강남구,서울  강남구  압구정로12길  19
하나샤브샤브,음식점,노원구,서울특별시 노원구 동일로203가길 29
상계생선,식품,노원구,서울특별시 노원구 상계로27길 12
이지논술(송현지),교육/서점,성북구,"서울 성북구 정릉로 307,"
소담촌고척점,음식점,구로구,"서울 구로구 경인로 397,"
화로야  화로야,음식점,송파구,"서울 송파구 가락로 257,"
스마일약국,병원/약국,관악구,서울특별시 관악구 중앙길 5
GS25 신구로자이점,마트/슈퍼마켓,구로구,서울특별시 구로구 구로중앙로32길 14
충무김밥,음식점,도봉구,"서울 도봉구 시루봉로 70,"
미미제빵소,제과점/커피,성북구,서울특별시 성북구 숭인로2길 28 1층
라이프온마스,음식점,광진구,"서울 광진구 능동로4길 17,"
현대건강원,마트/슈퍼마켓,광진구,서울 광진구 자양로15길 84
지에스GS25 신도림태영점,마트/슈퍼마켓,구로구,"서울 구로구 새말로 93 ,"
CU 도봉투웨니점,마트/슈퍼마켓,도봉구,"서울 도봉구 도봉로180길 20,"
위바디짐(We Body Gym),레저/스포츠,동대문구,서울특별시 동대문구 한천로 264
오렌즈 왕십리역점,패션/잡화,성동구,서울특별시 성동구 왕십리광장로 17
주식회사 유에스라인,문화/예술,서대문구,서울특별시 서대문구 증가로 206-1
메타프랩학원,교육/서점,강남구,서울특별시 강남구 논현로164길 25
진숙이네살롱,뷰티/미용,노원구,서울특별시 노원구 상계로1길 38-11
윤정석치과,병원/약국,영등포구,"서울 영등포구 당산로 34,"
논현감자탕,음식점,강남구,서울특별시 강남구 학동로 235
헤리스헤이스,음식점,강서구,서울특별시 강서구 마곡동로3길 26
킹 태권도,교육/서점,중랑구,서울특별시 중랑구 면목로33길 33
참누렁소,음식점,노원구,서울 노원구 공릉로63길 13
포도나무미용실,뷰티/미용,양천구,"서울 양천구 월정로9길 17,"
우리스크린골프,레저/스포츠,강북구,서울특별시 강북구 솔샘로 327
주식회사 위즈아카이브,교육/서점,동대문구,서울특별시 동대문구 답십리로 273
윤선생우리집앞영어교실가재울영어교습소,교육/서점,서대문구,"서울 서대문구 모래내로15길 50,"
아소비 서울 방학점,교육/서점,도봉구,"서울 도봉구 해등로 264,"
아현김밥,마트/슈퍼마켓,마포구,서울특별시 마포구 굴레방로7길 13
가방나라,패션/잡화,노원구,"서울 노원구 상계로 51,"
오토오아시스  보문점,자동차정비/용품,성북구,서울 성북구 보문로 38
라라 #,뷰티/미용,강동구,서울특별시 강동구 고덕로23길 12
SJ스포츠,레저/스포츠,강남구,"서울 강남구 논현로168길 47,"
만족오향족발,음식점,중구,서울특별시 중구 서소문로 134-7
세레니끄 목동점,뷰티/미용,양천구,서울특별시 양천구 목동동로 401
피카소아트미술교습소,교육/서점,강북구,서울특별시 강북구 도봉로38길 37
성산푸줏간,식품,마포구,"서울 마포구 월드컵북로 230,"
헤어펠리스,뷰티/미용,관악구,"서울 관악구 은천로 36,"
신참떡볶이,음식점,동대문구,서울특별시 동대문구 전농로15길 7
일품축산,식품,송파구,서울특별시 송파구 오금로40길 44
돈김치,음식점,동대문구,서울 동대문구 천호대로83길 81
장터가마솥,음식점,은평구,"서울 은평구 응암로4길 23-4,"
우리농산물,식품,은평구,"서울 은평구 진흥로13가길 2,"
아이웰 동물의료센터,반려동물,마포구,서울특별시 마포구 백범로 130
GS대치희망점,마트/슈퍼마켓,강남구,"서울 강남구 삼성로 307,"
(주)테이스터스 바스버거 성수점,음식점,성동구,서울특별시 성동구 왕십리로8길 16
여성크로커다일사가정점,레저/스포츠,중랑구,서울  중랑구  면목로
뉴탑학원,교육/서점,동작구,서울특별시 동작구 대방동27길 111
연신내 신간짬뽕,음식점,은평구,"서울 은평구 통일로85길 7-1,"
한강호프,음식점,금천구,서울특별시 금천구 남부순환로 1428
윰앤터치,뷰티/미용,강남구,서울특별시 강남구 테헤란로14길 8
마왕마라탕,음식점,관악구,서울특별시 관악구 장군봉1길 32
주식회사 벤골프,레저/스포츠,영등포구,서울특별시 영등포구 여의나루로 81
이디야 염창블루나인,제과점/커피,강서구,서울특별시 강서구 양천로 583
짬봉의 달인,음식점,은평구,"서울 은평구 통일로66길 4-5,"
아미헤어,뷰티/미용,양천구,"서울 양천구 목동중앙본로 70,"
원당곱창,음식점,강서구,서울 강서구 강서로 379
주식회사아이와푸즈코리아,음식점,중구,서울특별시 중구 세종대로14길 32
스윗 사워 솔트,음식점,마포구,서울특별시 마포구 연남로5길 19
하나마트,마트/슈퍼마켓,양천구,"서울 양천구 목동중앙서로 21,"
도나,음식점,마포구,서울특별시 마포구 성암로13길 26-2
추오정정동점,음식점,중구,서울특별시 중구 정동길 8
자양플팩수학교습소,교육/서점,광진구,서울특별시 광진구 자양번영로3길 54
프랑스스트링(FRANCE STRING),음식점,마포구,"서울 마포구 동교로23길 64,"
다시방,음식점,금천구,서울 금천구 시흥대로147길 10
두번째 마카롱,음식점,성동구,서울특별시 성동구 무학봉15길 24
우림닭한마리,음식점,중랑구,"서울 중랑구 용마산로115길 26,"
(주) 지유에너지,주유/충전,강동구,"서울 강동구 성안로 102,"
아현마트,마트/슈퍼마켓,서대문구,서울특별시 서대문구 북아현로 6-1
토토,음식점,용산구,"서울 용산구 청파로47길 56,"
와이낫,음식점,강북구,서울특별시 강북구 수유로 59-1
어달스시,음식점,강서구,서울특별시 강서구 마곡중앙6로 16
삼성세탁,생활,강남구,서울  강남구  삼성로115길
아이월드안경,패션/잡화,노원구,서울  노원구  공릉3동
대한민국의원,병원/약국,중랑구,서울  중랑구  면목3.8동
벨라스가든,음식점,송파구,서울 송파구 백제고분로41길 42-19
샵지누헤어,뷰티/미용,동대문구,서울특별시 동대문구 답십리로 140
더(The). 준지,뷰티/미용,용산구,서울특별시 용산구 한강대로 95
프레시마켓,식품,강남구,서울특별시 강남구 선릉로 312
이마트24마천파크데일리점,마트/슈퍼마켓,송파구,서울특별시 송파구 성내천로 261
피그먼트,마트/슈퍼마켓,관악구,서울특별시 관악구 남부순환로230길 18
윤선생아이지에스이(IGSE)상계학원,교육/서점,노원구,서울특별시 노원구 동일로 1549
찬란한 사진관,사진,송파구,서울특별시 송파구 위례성대로20길 8
빽다방 석계중앙점,제과점/커피,성북구,서울특별시 성북구 한천로78길 63
레몬버베나,제과점/커피,양천구,서울특별시 양천구 오목로54길 14
이디야커피 공덕롯데캐슬,제과점/커피,마포구,서울특별시 마포구 마포대로 109
타임  (Thyme),뷰티/미용,서초구,"서울 서초구 방배로42길 50-2,"
광진정육점,식품,중랑구,서울  중랑구  묵동
피크사이클링랩,레저/스포츠,광진구,"서울 광진구 자양번영로 13,"
한헤어,뷰티/미용,송파구,"서울 송파구 삼학사로13길 15,"
홀트강동복지관,기타,강동구,서울특별시 강동구 아리수로93길 41
GS25 봉천우성점,마트/슈퍼마켓,관악구,"서울 관악구 관악로28길 20,"
금나막스,음식점,용산구,서울 용산구 한강대로39길 10
상도동 살롱,뷰티/미용,동작구,서울특별시 동작구 성대로1길 5
생태한마리,음식점,광진구,서울특별시 광진구 동일로22길 22
경원식품,식품,동대문구,서울특별시 동대문구 한천로11길 61
