가맹점명,서울페이앱분류업종,자치구명,기본주소
꼽사리,음식점,광진구,서울특별시 광진구 아차산로29길 71
(주)삼주국민마트,마트/슈퍼마켓,강북구,서울 강북구 삼양로 450
깐부치킨,음식점,금천구,서울특별시 금천구 벚꽃로 278
라인약국,병원/약국,광진구,서울특별시 광진구 아차산로 375
뿌앙  발레학원,교육/서점,영등포구,"서울 영등포구 여의대방로 386,"
캐슬더(THE)오름수학학원,교육/서점,강동구,서울특별시 강동구 고덕로 133
그림정원미술교습소,교육/서점,강동구,"서울 강동구 올림픽로91길 30,"
잉글리쉬그로브영어교습소,교육/서점,강남구,서울특별시 강남구 자곡로 21
이종립한의원,병원/약국,노원구,"서울 노원구 한글비석로 460,"
뽀소  (posso),음식점,송파구,"서울 송파구 오금로36길 16,"
송하정 스시,음식점,강동구,서울특별시 강동구 상일로 39-8
크린토피아,생활,은평구,"서울 은평구 증산로15길 20,"
소림식당,음식점,광진구,서울특별시 광진구 긴고랑로22길 7
79번지국수집,음식점,동대문구,서울 동대문구 회기동 42-79
정가,음식점,관악구,서울 관악구 남부순환로 1710
빗과결사이,뷰티/미용,관악구,서울특별시 관악구 인헌3가길 2
새마당,음식점,동대문구,서울특별시 동대문구 회기로21길 8-5
카페 노드,음식점,동대문구,서울특별시 동대문구 왕산로43가길 27
푸드2900  봉천사랑점,음식점,관악구,서울  관악구  봉천9동
좋은축산마을,식품,강북구,서울  강북구  솔샘로
그 아저씨 공방,교육/서점,성동구,서울특별시 성동구 무학봉15길 27
김산한의원,병원/약국,종로구,"서울 종로구 삼봉로 95,"
한우리축산,식품,강서구,서울특별시 강서구 강서로47길 113
카페이티씨.(휘경직영점),음식점,동대문구,서울특별시 동대문구 한천로 264
스낵몽,반려동물,강북구,서울특별시 강북구 삼양로54길 130
홈마트 등촌3동점,마트/슈퍼마켓,강서구,서울특별시 강서구 화곡로63길 93
윤선생아이지에스이아카데미 위례학원,교육/서점,송파구,서울특별시 송파구 위례광장로 188
마코아현,레저/스포츠,서대문구,서울  서대문구  북아현1동
씨유 용마산점,마트/슈퍼마켓,중랑구,"서울 중랑구 면목로 224 ,"
상계한의원,병원/약국,노원구,서울  노원구  중계본동
오채심리상담연구소,상담,양천구,"서울 양천구 공항대로 552,"
저-집,음식점,강서구,서울특별시 강서구 공항대로51길 17-10
헤어카페감동,뷰티/미용,강북구,서울특별시 강북구 한천로 1121
또래오래,음식점,성동구,"서울 성동구 뚝섬로 392,"
역촌역 양꼬치,음식점,은평구,서울특별시 은평구 서오릉로 71
아까르마,뷰티/미용,금천구,서울 금천구 독산로43가길 15
신림반찬,마트/슈퍼마켓,관악구,서울 관악구 신원로5길 45
CT종합동물병원,반려동물,마포구,서울 마포구 만리재로 74
석계태평양약국,병원/약국,노원구,"서울 노원구 화랑로 321,"
서래향 삼성점,음식점,강남구,"서울 강남구 영동대로86길 28,"
투뿔한우 우미옥,음식점,중구,서울특별시 중구 명동10길 19-21
하늘향기,음식점,송파구,"서울 송파구 성내천로 134,"
김경미논술국어교습소,교육/서점,노원구,서울  노원구  월계1동
본죽,음식점,서초구,"서울 서초구 주흥길 3,"
GS25 장안햇살점,마트/슈퍼마켓,동대문구,서울 동대문구 장한로17길 9
힐링투유안마원,기타,성북구,"서울 성북구 아리랑로 24,"
씨유 관악청림점,마트/슈퍼마켓,관악구,"서울 관악구 관악로 306,"
풀팬 (FULL PAN),음식점,강동구,"서울 강동구 올림픽로 660,"
스카이영어교습소,교육/서점,성북구,"서울 성북구 동소문로 248,"
별나무미술교습소,교육/서점,강남구,"서울 강남구 압구정로29길 68,"
종로김밥,음식점,서대문구,"서울 서대문구 신촌로 127,"
스트라다146,음식점,영등포구,서울특별시 영등포구 당산로38길 9-1
